ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
65,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MMAL-2024-2697.jpg,won,691481,(+ 71388),M. MALLESH BABU,Janata Dal  (Secular)
66,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GOUTH-2024-3600.jpg,lost,620093,( -71388),K V GOWTHAM,Indian National Congress
67,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUMAN-2024-20240408023201.jpg,lost,6487,( -684994),SUMAN H N,Independent
68,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SRINI-2024-3655.jpg,lost,6163,( -685318),HOLUR SRINIVASA,Independent
69,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SURES-2024-3053.jpg,lost,4732,( -686749),S B SURESHA,Bahujan Samaj Party
70,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KRDEV-2024-3942.jpg,lost,4597,( -686884),K R DEVARAJA,Delhi Janta Party
71,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MVENK-2024-3111.jpg,lost,3354,( -688127),DR M. VENKATASWAMY,Independent
72,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RANJI-2024-20240403011519.jpg,lost,2118,( -689363),R RANJITHKUMAR,Independent
73,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SNNAR-2024-3844.jpg,lost,1985,( -689496),S N NARAYANASWAMY V,Independent
74,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DGOPA-2024-3012.jpg,lost,1669,( -689812),D GOPALAKRISHNA,Socialist Party (India)
75,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DEVAR-2024-2797.jpg,lost,1354,( -690127),DEVARAJA A ALUSURUDINNE,Uttama Prajaakeeya Party
76,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MSBAD-2024-3808.jpg,lost,1116,( -690365),M S BADARINARAYANA,Independent
77,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAHES-2024-2444.jpg,lost,1065,( -690416),MAHESH A V,Karnataka Rashtra Samithi
78,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/THIMM-2024-20240408024755.jpg,lost,864,( -690617),THIMMARAYAPPA,Republican Party of India (Karnataka)
79,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RRAJE-2024-3509.jpg,lost,751,( -690730),R RAJENDRA,Independent
80,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MMUNI-2024-3432.jpg,lost,604,( -690877),M MUNIGANGAPPA,Independent
81,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MCHAL-2024-20240408024820.jpg,lost,521,( -690960),M  C HALLI VENU,Viduthalai Chiruthaigal Katchi
82,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KRISH-2024-3897.jpg,lost,443,( -691038),KRISHNAIAH N,Independent
83,Karnataka,Kolar(28),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,5831,( -685650),NOTA,None of the Above
